"time","controller.k","controller.measured","controller.setpoint","controller.command"
0,20,0,1,20
0,20,0,1,20
0,20,0,1,20
0.002,20,0,1,20
0.004,20,0,1,20
0.006,20,0,1,20
0.008,20,0,1,20
0.01,20,0,1,20
0.012,20,0,1,20
0.014,20,0,1,20
0.016,20,0,1,20
0.018,20,0,1,20
0.02,20,0,1,20
0.022,20,0,1,20
0.024,20,0,1,20
0.026,20,0,1,20
0.028,20,0,1,20
0.03,20,0,1,20
0.032,20,0,1,20
0.034,20,0,1,20
0.036,20,0,1,20
0.036,20,0.9393796122099473,1,1.212407755801055
0.038,20,0.9393796122099473,1,1.212407755801055
0.04,20,0.9393796122099473,1,1.212407755801055
0.042,20,0.9393796122099473,1,1.212407755801055
0.044,20,0.9393796122099473,1,1.212407755801055
0.046,20,0.9393796122099473,1,1.212407755801055
0.048,20,0.9393796122099473,1,1.212407755801055
0.05,20,0.9393796122099473,1,1.212407755801055
0.052,20,0.9393796122099473,1,1.212407755801055
0.054,20,0.9393796122099473,1,1.212407755801055
0.056,20,0.9393796122099473,1,1.212407755801055
0.058,20,0.9393796122099473,1,1.212407755801055
0.06,20,0.9393796122099473,1,1.212407755801055
0.062,20,0.9393796122099473,1,1.212407755801055
0.064,20,0.9393796122099473,1,1.212407755801055
0.066,20,0.9393796122099473,1,1.212407755801055
0.068,20,0.9393796122099473,1,1.212407755801055
0.07,20,0.9393796122099473,1,1.212407755801055
0.072,20,0.9393796122099473,1,1.212407755801055
0.072,20,1.572906952863676,1,-11.45813905727353
0.074,20,1.572906952863676,1,-11.45813905727353
0.076,20,1.572906952863676,1,-11.45813905727353
0.078,20,1.572906952863676,1,-11.45813905727353
0.08,20,1.572906952863676,1,-11.45813905727353
0.082,20,1.572906952863676,1,-11.45813905727353
0.084,20,1.572906952863676,1,-11.45813905727353
0.086,20,1.572906952863676,1,-11.45813905727353
0.088,20,1.572906952863676,1,-11.45813905727353
0.09,20,1.572906952863676,1,-11.45813905727353
0.092,20,1.572906952863676,1,-11.45813905727353
0.094,20,1.572906952863676,1,-11.45813905727353
0.096,20,1.572906952863676,1,-11.45813905727353
0.098,20,1.572906952863676,1,-11.45813905727353
0.1,20,1.572906952863676,1,-11.45813905727353
0.102,20,1.572906952863676,1,-11.45813905727353
0.104,20,1.572906952863676,1,-11.45813905727353
0.106,20,1.572906952863676,1,-11.45813905727353
0.108,20,1.572906952863676,1,-11.45813905727353
0.108,20,0.5953146060498538,1,8.093707879002924
0.11,20,0.5953146060498538,1,8.093707879002924
0.112,20,0.5953146060498538,1,8.093707879002924
0.114,20,0.5953146060498538,1,8.093707879002924
0.116,20,0.5953146060498538,1,8.093707879002924
0.118,20,0.5953146060498538,1,8.093707879002924
0.12,20,0.5953146060498538,1,8.093707879002924
0.122,20,0.5953146060498538,1,8.093707879002924
0.124,20,0.5953146060498538,1,8.093707879002924
0.126,20,0.5953146060498538,1,8.093707879002924
0.128,20,0.5953146060498538,1,8.093707879002924
0.13,20,0.5953146060498538,1,8.093707879002924
0.132,20,0.5953146060498538,1,8.093707879002924
0.134,20,0.5953146060498538,1,8.093707879002924
0.136,20,0.5953146060498538,1,8.093707879002924
0.138,20,0.5953146060498538,1,8.093707879002924
0.14,20,0.5953146060498538,1,8.093707879002924
0.142,20,0.5953146060498538,1,8.093707879002924
0.144,20,0.5953146060498538,1,8.093707879002924
0.144,20,0.106231788228482,1,17.87536423543036
0.146,20,0.106231788228482,1,17.87536423543036
0.148,20,0.106231788228482,1,17.87536423543036
0.15,20,0.106231788228482,1,17.87536423543036
0.152,20,0.106231788228482,1,17.87536423543036
0.154,20,0.106231788228482,1,17.87536423543036
0.156,20,0.106231788228482,1,17.87536423543036
0.158,20,0.106231788228482,1,17.87536423543036
0.16,20,0.106231788228482,1,17.87536423543036
0.162,20,0.106231788228482,1,17.87536423543036
0.164,20,0.106231788228482,1,17.87536423543036
0.166,20,0.106231788228482,1,17.87536423543036
0.168,20,0.106231788228482,1,17.87536423543036
0.17,20,0.106231788228482,1,17.87536423543036
0.172,20,0.106231788228482,1,17.87536423543036
0.174,20,0.106231788228482,1,17.87536423543036
0.176,20,0.106231788228482,1,17.87536423543036
0.178,20,0.106231788228482,1,17.87536423543036
0.18,20,0.106231788228482,1,17.87536423543036
0.18,20,1.16762528846787,1,-3.352505769357399
0.182,20,1.16762528846787,1,-3.352505769357399
0.184,20,1.16762528846787,1,-3.352505769357399
0.186,20,1.16762528846787,1,-3.352505769357399
0.188,20,1.16762528846787,1,-3.352505769357399
0.19,20,1.16762528846787,1,-3.352505769357399
0.192,20,1.16762528846787,1,-3.352505769357399
0.194,20,1.16762528846787,1,-3.352505769357399
0.196,20,1.16762528846787,1,-3.352505769357399
0.198,20,1.16762528846787,1,-3.352505769357399
0.2,20,1.16762528846787,1,-3.352505769357399
0.202,20,1.16762528846787,1,-3.352505769357399
0.204,20,1.16762528846787,1,-3.352505769357399
0.206,20,1.16762528846787,1,-3.352505769357399
