"time","wLoad","sineVoltage.v[2]"
0,150.8435712621139,-70.71067811865477
0.002,150.8435712621139,-81.20237272259568
0.004,1440.45,-60.67752091364237
0.006,1440.45,-16.97591846876023
0.008,1440.45,33.20990784094121
0.01,1440.45,70.71067811865477
0.012,1440.45,81.20237272259568
0.014,1440.45,60.67752091364238
0.016,1440.45,16.97591846876026
0.018,1440.45,-33.2099078409412
0.02,1440.45,-70.71067811865476
0.022,1440.45,-81.20237272259568
0.024,1440.45,-60.67752091364233
0.026,1440.45,-16.97591846876027
0.028,1440.45,33.20990784094119
0.03,1440.45,70.71067811865476
0.032,1440.45,81.20237272259568
0.034,1440.45,60.67752091364229
0.036,1440.45,16.97591846876028
0.038,1440.45,-33.20990784094118
0.04,1440.45,-70.71067811865476
0.042,1440.45,-81.20237272259567
0.044,1440.45,-60.6775209136424
0.046,1440.45,-16.97591846876029
0.048,1440.45,33.20990784094131
0.05,1440.45,70.71067811865483
0.052,1440.45,81.20237272259568
0.054,1440.45,60.6775209136424
0.056,1440.45,16.9759184687603
0.058,1440.45,-33.20990784094104
0.06,1440.45,-70.71067811865481
0.062,1440.45,-81.2023727225957
0.064,1440.45,-60.67752091364231
0.066,1440.45,-16.97591846875988
0.068,1440.45,33.20990784094129
0.07,1440.45,70.71067811865495
0.072,1440.45,81.20237272259567
0.074,1440.45,60.67752091364251
0.076,1440.45,16.97591846876018
0.078,1440.45,-33.20990784094101
0.08,1440.45,-70.71067811865481
0.082,1440.45,-81.20237272259564
0.084,1440.45,-60.67752091364232
0.086,1440.45,-16.97591846876047
0.088,1440.45,33.20990784094128
0.09,1440.45,70.71067811865466
0.092,1440.45,81.20237272259567
0.094,1440.45,60.67752091364253
0.096,1440.45,16.9759184687602
0.098,1440.45,-33.20990784094153
0.1,1440.45,-70.7106781186548
0.1,1440.45,-70.7106795294751
0.1,1440.45,-70.7106795294751
0.102,1440.45,-81.2023727225957
0.104,1440.45,-60.67752091364234
0.106,1440.45,-16.97591846875992
0.108,1440.45,33.20990784094126
0.11,1440.45,70.71067811865494
0.112,1440.45,81.20237272259567
0.114,1440.45,60.67752091364215
0.116,1440.45,16.97591846876022
0.118,1440.45,-33.20990784094098
0.12,1440.45,-70.71067811865478
0.122,1440.45,-81.20237272259564
0.124,1440.45,-60.67752091364235
0.126,1440.45,-16.97591846875994
0.128,1440.45,33.20990784094124
0.13,1440.45,70.71067811865493
0.132,1440.45,81.20237272259561
0.134,1440.45,60.67752091364217
0.136,1440.45,16.97591846875967
0.138,1440.45,-33.20990784094149
0.14,1440.45,-70.71067811865507
0.142,1440.45,-81.2023727225957
0.144,1440.45,-60.67752091364237
0.146,1440.45,-16.97591846876053
0.148,1440.45,33.20990784094121
0.15,1440.45,70.71067811865491
0.152,1440.45,81.20237272259568
0.154,1440.45,60.67752091364218
0.156,1440.45,16.97591846876026
0.158,1440.45,-33.20990784094148
0.16,1440.45,-70.71067811865477
0.162,1440.45,-81.20237272259565
0.164,1440.45,-60.67752091364198
0.166,1440.45,-16.97591846875998
0.168,1440.45,33.20990784094172
0.17,1440.45,70.71067811865491
0.172,1440.45,81.20237272259568
0.174,1440.45,60.67752091364257
0.176,1440.45,16.97591846876027
0.178,1440.45,-33.20990784094092
0.18,1440.45,-70.71067811865476
0.182,1440.45,-81.20237272259565
0.184,1440.45,-60.6775209136424
0.186,1440.45,-16.97591846876
0.188,1440.45,33.20990784094118
0.19,1440.45,70.7106781186549
0.192,1440.45,81.20237272259563
0.194,1440.45,60.6775209136422
0.196,1440.45,16.97591846875973
0.198,1440.45,-33.20990784094144
0.2,1440.45,-70.71067811865504
0.202,1440.45,-81.20237272259565
0.204,1440.45,-60.67752091364279
0.206,1440.45,-16.97591846876059
0.208,1440.45,33.20990784094116
0.21,1440.45,70.71067811865488
0.212,1440.45,81.20237272259563
0.214,1440.45,60.6775209136426
0.216,1440.45,16.97591846876031
0.218,1440.45,-33.20990784094142
0.22,1440.45,-70.71067811865503
0.222,1440.45,-81.2023727225956
0.224,1440.45,-60.67752091364242
0.226,1440.45,-16.97591846876004
0.228,1440.45,33.20990784094167
0.23,1440.45,70.71067811865517
0.232,1440.45,81.20237272259568
0.234,1440.45,60.67752091364223
0.236,1440.45,16.9759184687609
0.238,1440.45,-33.20990784094087
0.24,1440.45,-70.71067811865473
0.242,1440.45,-81.20237272259565
0.244,1440.45,-60.67752091364204
0.246,1440.45,-16.97591846876063
0.248,1440.45,33.20990784094113
0.25,1440.45,70.71067811865487
0.252,1440.45,81.20237272259563
0.254,1440.45,60.67752091364186
0.256,1440.45,16.97591846876035
0.258,1440.45,-33.20990784094138
0.26,1440.45,-70.71067811865501
0.262,1440.45,-81.2023727225956
0.264,1440.45,-60.67752091364166
0.266,1440.45,-16.97591846876008
0.268,1440.45,33.20990784094164
0.27,1440.45,70.71067811865515
0.272,1440.45,81.20237272259557
0.274,1440.45,60.67752091364225
0.276,1440.45,16.9759184687598
0.278,1440.45,-33.2099078409419
0.28,1440.45,-70.71067811865528
0.282,1440.45,-81.20237272259578
