"time","rlc_comp.u[1]","rlc_comp.x[1]","rlc_comp.x[2]","der(rlc_comp.x[1])","der(rlc_comp.x[2])","rlc_comp.x0[1]","rlc_comp.x0[2]","rlc_comp.y[1]","rlc_comp.y[2]"
0,24,0,0,0,24,0,0,0,0
0.002,24,0.04766516705154642,0.04796812827064091,47.49147660012544,23.95233483294845,0,0,0.0004766516705154642,0.04749147660012545
0.004,24,0.1892119587320604,0.09574672770897404,93.85460812165343,23.81078804126794,0,0,0.001892119587320604,0.09385460812165343
0.006,24,0.4222224981055282,0.1431503301937261,138.9281052126709,23.57777750189447,0,0,0.004222224981055282,0.1389281052126708
0.008,24,0.7439626597927788,0.1899986961549579,182.5590695570301,23.25603734020722,0,0,0.007439626597927788,0.1825590695570301
0.01,24,1.151401226111018,0.2361173537159461,224.6033414548359,22.84859877388898,0,0,0.01151401226111018,0.224603341454836
0.012,24,1.64122840224139,0.2813381672603263,264.9258832379124,22.35877159775861,0,0,0.0164122840224139,0.2649258832379124
0.014,24,2.209873522829956,0.3254998876703817,303.4011524420822,21.79012647717004,0,0,0.02209873522829956,0.3034011524420822
0.016,24,2.853524517717113,0.3684486543592425,339.9134091820713,21.14647548228289,0,0,0.02853524517717113,0.3399134091820713
0.018,24,3.56814800018338,0.4100384573769715,374.3569773751377,20.43185199981662,0,0,0.0356814800018338,0.3743569773751377
0.02,24,4.3495095676839,0.4501315528855039,406.6364572086649,19.6504904323161,0,0,0.04349509567683901,0.4066364572086649
0.022,24,5.193194595828627,0.4885988226424178,436.6668766841315,18.80680540417137,0,0,0.05193194595828628,0.4366668766841315
0.024,24,6.094628945555249,0.5253201458005385,464.373856344986,17.90537105444475,0,0,0.06094628945555249,0.4643738563449861
0.026,24,7.049100104413348,0.5601847397640549,489.6937387199214,16.95089989558665,0,0,0.07049100104413349,0.4896937387199214
0.028,24,8.051778694441541,0.5930913729451585,512.573586000743,15.94822130555846,0,0,0.08051778694441541,0.512573586000743
0.03,24,9.097740786411103,0.6239484897811149,532.971081917004,14.9022592135889,0,0,0.09097740786411103,0.5329710819170039
0.032,24,10.18198799504607,0.6526745223706586,550.8546424201979,13.81801200495393,0,0,0.1018198799504607,0.5508546424201979
0.034,24,11.29946966244535,0.6791980248345174,566.2033282100639,12.70053033755465,0,0,0.1129946966244535,0.5662033282100639
0.036,24,12.44510347985049,0.703457512757627,579.0064779591221,11.55489652014951,0,0,0.124451034798505,0.5790064779591221
0.038,24,13.61379685679374,0.7254018608700702,589.2638923021327,10.38620314320626,0,0,0.1361379685679374,0.5892638923021327
0.04,24,14.80046607169864,0.7449899768105214,596.9853160935349,9.199533928301358,0,0,0.1480046607169864,0.596985316093535
0.042,24,16.00005754165898,0.7621910129718684,602.1904375552785,7.999942458341017,0,0,0.1600005754165898,0.6021904375552786
0.044,24,17.20756633583765,0.7769841261221703,604.9084627637938,6.792433664162349,0,0,0.1720756633583765,0.6049084627637937
0.046,24,18.41805473694341,0.7893584013759769,605.1778540065427,5.581945263056589,0,0,0.1841805473694341,0.6051778540065428
0.048,24,19.62667236445987,0.7993128088788951,603.0460852342965,4.373327635540132,0,0,0.1962667236445987,0.6030460852342965
0.05,24,20.82867028721268,0.8068557851446885,598.5690822725617,3.171329712787315,0,0,0.2082867028721269,0.5985690822725616
0.052,24,22.01942213166497,0.8120052894435517,591.811068126902,1.980577868335029,0,0,0.2201942213166497,0.591811068126902
0.054,24,23.19443554035504,0.814788278141868,582.8439227383177,0.8055644596449589,0,0,0.2319443554035504,0.5828439227383176
0.056,24,24.34937091043131,0.8152406247663658,571.7469156620527,-0.3493709104313076,0,0,0.2434937091043131,0.5717469156620527
0.058,24,25.48005374084129,0.8134066900332687,558.6061526248557,-1.480053740841292,0,0,0.2548005374084129,0.5586061526248558
0.06,24,26.5824867589523,0.8093389689636162,543.5141013740932,-2.5824867589523,0,0,0.265824867589523,0.5435141013740932
0.062,24,27.6528667246984,0.8030978535376917,526.5691862907076,-3.652866724698399,0,0,0.276528667246984,0.5265691862907077
0.064,24,28.68758894539133,0.7947510357792733,507.87514632536,-4.687588945391326,0,0,0.2868758894539133,0.50787514632536
0.066,24,29.68326479683985,0.7843733017826818,487.5406538142832,-5.68326479683985,0,0,0.2968326479683985,0.4875406538142833
0.068,24,30.6367244682162,0.772045920952966,465.678676270804,-6.636724468216197,0,0,0.306367244682162,0.465678676270804
0.07,24,31.54502970957557,0.7578563169158372,442.4060198200815,-7.545029709575569,0,0,0.3154502970957557,0.4424060198200815
0.072,24,32.40547927432964,0.7418975454242928,417.8427526809963,-8.405479274329643,0,0,0.3240547927432965,0.4178427526809963
0.074,24,33.21561257443816,0.7242677944709742,392.1116687265926,-9.215612574438161,0,0,0.3321561257443816,0.3921116687265926
0.076,24,33.97322100935047,0.7050699784112677,365.337768317763,-9.973221009350468,0,0,0.3397322100935047,0.365337768317763
0.078,24,34.67634325992807,0.68441112510258,337.6476925032992,-10.67634325992807,0,0,0.3467634325992808,0.3376476925032992
0.08,24,35.32327635330754,0.6624019709851513,309.1692074520759,-11.32327635330754,0,0,0.3532327635330754,0.3091692074520759
0.082,24,35.91257071789249,0.6391563754888974,280.0306683099724,-11.91257071789249,0,0,0.3591257071789248,0.2800306683099725
0.084,24,36.44303490834246,0.6147908545850429,250.3605055016183,-12.44303490834246,0,0,0.3644303490834246,0.2503605055016183
0.086,24,36.91373458342704,0.5894240453120623,220.2866994777918,-12.91373458342704,0,0,0.3691373458342704,0.2202866994777918
0.088,24,37.32398795018879,0.5631761996374502,189.9363201355624,-13.32398795018879,0,0,0.3732398795018879,0.1899363201355624
