"time","c","Q","v"
0,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.002,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.004,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.006,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.008,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.01,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.012,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.014,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.016,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.018,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.02,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.022,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.024,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.026,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.028,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.03,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.032,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.034,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.036,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.038,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.04,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.042,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.044,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.046,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.048,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.05,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.052,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.054,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.056,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.058,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.06,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.062,7.66990393942821e-05,0.01380582709097078,7.031250000000003
0.064,7.66990393942821e-05,0.01380582709097078,7.031250000000003
