"time","Theta"
0,8.9
0,8.9
0,8.973000000000001
0.002,8.973000000000001
0.004,8.973000000000001
0.006,8.973000000000001
0.008,8.973000000000001
0.01,8.973000000000001
0.012,8.973000000000001
0.014,8.973000000000001
0.016,8.973000000000001
0.018,8.973000000000001
0.02,8.973000000000001
0.022,8.973000000000001
0.024,8.973000000000001
0.026,8.973000000000001
0.028,8.973000000000001
0.03,8.973000000000001
0.032,8.973000000000001
0.034,8.973000000000001
0.036,8.973000000000001
0.038,8.973000000000001
0.04,8.973000000000001
0.042,8.973000000000001
0.044,8.973000000000001
0.046,8.973000000000001
0.048,8.973000000000001
0.05,8.973000000000001
0.052,8.973000000000001
0.054,8.973000000000001
0.056,8.973000000000001
0.058,8.973000000000001
0.06,8.973000000000001
0.062,8.973000000000001
0.064,8.973000000000001
0.066,8.973000000000001
0.068,8.973000000000001
0.07,8.973000000000001
0.072,8.973000000000001
0.074,8.973000000000001
0.076,8.973000000000001
0.078,8.973000000000001
0.08,8.973000000000001
0.082,8.973000000000001
0.084,8.973000000000001
0.086,8.973000000000001
0.088,8.973000000000001
0.09,8.973000000000001
0.092,8.973000000000001
0.094,8.973000000000001
0.096,8.973000000000001
0.098,8.973000000000001
0.1,8.973000000000001
0.102,8.973000000000001
0.104,8.973000000000001
0.106,8.973000000000001
0.108,8.973000000000001
0.11,8.973000000000001
0.112,8.973000000000001
0.114,8.973000000000001
0.116,8.973000000000001
0.118,8.973000000000001
0.12,8.973000000000001
0.122,8.973000000000001
0.124,8.973000000000001
0.126,8.973000000000001
0.128,8.973000000000001
0.13,8.973000000000001
0.132,8.973000000000001
0.134,8.973000000000001
0.136,8.973000000000001
0.138,8.973000000000001
0.14,8.973000000000001
0.142,8.973000000000001
0.144,8.973000000000001
0.146,8.973000000000001
0.148,8.973000000000001
0.15,8.973000000000001
0.152,8.973000000000001
0.154,8.973000000000001
0.156,8.973000000000001
0.158,8.973000000000001
0.16,8.973000000000001
0.162,8.973000000000001
0.164,8.973000000000001
0.166,8.973000000000001
0.168,8.973000000000001
0.17,8.973000000000001
0.172,8.973000000000001
0.174,8.973000000000001
0.176,8.973000000000001
0.178,8.973000000000001
0.18,8.973000000000001
0.182,8.973000000000001
0.184,8.973000000000001
0.186,8.973000000000001
0.188,8.973000000000001
0.19,8.973000000000001
0.192,8.973000000000001
0.194,8.973000000000001
0.196,8.973000000000001
0.198,8.973000000000001
0.2,8.973000000000001
0.202,8.973000000000001
0.204,8.973000000000001
0.206,8.973000000000001
0.208,8.973000000000001
0.21,8.973000000000001
0.212,8.973000000000001
0.214,8.973000000000001
0.216,8.973000000000001
0.218,8.973000000000001
0.22,8.973000000000001
0.222,8.973000000000001
0.224,8.973000000000001
0.226,8.973000000000001
0.228,8.973000000000001
0.23,8.973000000000001
0.232,8.973000000000001
0.234,8.973000000000001
0.236,8.973000000000001
0.238,8.973000000000001
0.24,8.973000000000001
0.242,8.973000000000001
0.244,8.973000000000001
0.246,8.973000000000001
0.248,8.973000000000001
0.25,8.973000000000001
0.252,8.973000000000001
0.254,8.973000000000001
0.256,8.973000000000001
0.258,8.973000000000001
0.26,8.973000000000001
0.262,8.973000000000001
0.264,8.973000000000001
0.266,8.973000000000001
0.268,8.973000000000001
0.27,8.973000000000001
0.272,8.973000000000001
0.274,8.973000000000001
0.276,8.973000000000001
0.278,8.973000000000001
0.28,8.973000000000001
0.282,8.973000000000001
0.284,8.973000000000001
0.286,8.973000000000001
0.288,8.973000000000001
0.29,8.973000000000001
0.292,8.973000000000001
0.294,8.973000000000001
0.296,8.973000000000001
0.298,8.973000000000001
0.3,8.973000000000001
0.302,8.973000000000001
0.304,8.973000000000001
0.306,8.973000000000001
0.308,8.973000000000001
0.31,8.973000000000001
0.312,8.973000000000001
0.314,8.973000000000001
0.316,8.973000000000001
0.318,8.973000000000001
0.32,8.973000000000001
0.322,8.973000000000001
0.324,8.973000000000001
0.326,8.973000000000001
0.328,8.973000000000001
0.33,8.973000000000001
0.332,8.973000000000001
0.334,8.973000000000001
0.336,8.973000000000001
0.338,8.973000000000001
0.34,8.973000000000001
0.342,8.973000000000001
0.344,8.973000000000001
