"time","Icontrol","der(Icontrol)","der(waterLevel)","error","waterLevel"
0,0,0.4,0.7000000000000001,0.8,0.2
0.002,0.0007993002370356714,0.3993003000415129,0.6993999003200615,0.7986006000830258,0.2013993999169742
0.004,0.001597201921020408,0.3986012003206111,0.6987996025622426,0.7972024006412222,0.2027975993587779
0.006,0.002393706930592527,0.3979027011454951,0.6981991092215827,0.7958054022909902,0.2041945977090098
0.008,0.003188815399292272,0.3972048025379198,0.6975984204751319,0.7944096050758396,0.2055903949241605
0.01,0.003982531867019421,0.3965075052197312,0.6969975423064819,0.7930150104394624,0.2069849895605375
0.012,0.004774855494609164,0.3958108090574732,0.6963964736095556,0.7916216181149464,0.2083783818850536
0.014,0.005565785966509597,0.3951147140009619,0.6957952139684335,0.7902294280019239,0.2097705719980761
0.016,0.006355323282720718,0.3944192200501975,0.6951937633831157,0.7888384401003949,0.2111615598996051
0.018,0.007143481086523121,0.393724329272326,0.6945921396311752,0.7874486585446521,0.2125513414553479
0.02,0.007930255130196679,0.3930300410237592,0.693990337177715,0.7860600820475183,0.2139399179524817
0.022,0.008715642878642222,0.3923363549203941,0.6933883527194304,0.7846727098407882,0.2153272901592118
0.024,0.009499644331859762,0.3916432709622309,0.6927861862563216,0.7832865419244618,0.2167134580755382
0.026,0.01028225948984929,0.3909507891492695,0.6921838377883883,0.781901578298539,0.2180984217014609
0.028,0.01106348835261081,0.39025890948151,0.6915813073156308,0.78051781896302,0.21948218103698
0.03,0.01184333092014433,0.3895676319589523,0.690978594838049,0.7791352639179047,0.2208647360820953
0.032,0.01262178719244983,0.3888769565815965,0.6903757003556429,0.777753913163193,0.222246086836807
0.034,0.01339887557836292,0.3881868860008253,0.6897726475800136,0.7763737720016506,0.2236262279983494
0.036,0.01417459435531741,0.3874974199685415,0.6891694342924004,0.774994839937083,0.2250051600629171
0.038,0.01494893356551372,0.3868085570505457,0.6885660476666051,0.7736171141010914,0.2263828858989086
0.04,0.01572189320895185,0.3861202972468379,0.6879624877026278,0.7722405944936759,0.2277594055063241
0.042,0.0164934732856318,0.3854326405574183,0.6873587544004685,0.7708652811148367,0.2291347188851633
0.044,0.01726367379555358,0.3847455869822868,0.6867548477601272,0.7694911739645736,0.2305088260354264
0.046,0.01803249473871718,0.3840591365214433,0.6861507677816038,0.7681182730428866,0.2318817269571133
0.048,0.0187999361151226,0.3833732891748879,0.6855465144648984,0.7667465783497759,0.2332534216502241
0.05,0.01956601542833199,0.3826880473420543,0.6849421101124407,0.7653760946841086,0.2346239053158914
0.052,0.02033074498978999,0.3820034127106271,0.6843375704110443,0.7640068254212542,0.2359931745787458
0.054,0.02109410439889775,0.3813193824840395,0.6837328693669766,0.7626387649680789,0.2373612350319211
0.056,0.02185609365565526,0.3806359566622913,0.6831280069802379,0.7612719133245827,0.2387280866754174
0.058,0.02261671276006253,0.3799531352453827,0.6825229832508278,0.7599062704907653,0.2400937295092346
0.06,0.02337596171211955,0.3792709182333136,0.6819177981787468,0.7585418364666272,0.2414581635333728
0.062,0.02413384051182634,0.378589305626084,0.6813124517639944,0.757178611252168,0.242821388747832
0.064,0.02489034915918287,0.3779082974236939,0.6807069440065707,0.7558165948473878,0.2441834051526121
0.066,0.02564549758616401,0.3772278948934145,0.6801012873729929,0.7544557897868289,0.245544210213171
0.068,0.02639931309206441,0.3765481015185013,0.6794955161290671,0.7530962030370026,0.2469037969629974
0.07,0.02715176819721691,0.3758689137926842,0.6788895957825852,0.7517378275853683,0.2482621724146317
