"time","force","x"
0,-1,1
0.002,-0.9997980203374622,0.9999980001675616
0.004,-0.999592082748147,0.9999920013897217
0.006,-0.9993821887770666,0.9999820044575469
0.008,-0.9991683422081291,0.9999680113456448
0.01,-0.998950542217568,0.999950021624353
0.012,-0.9987287910316491,0.9999280364943902
0.014,-0.9985030990844718,0.9999020615833049
0.016,-0.9982734606207702,0.9998720937870402
0.018,-0.9980398756405441,0.9998381331055961
0.02,-0.9978023441437939,0.9998001795389727
0.022,-0.9975608661305194,0.99975823308717
0.024,-0.9973154506236359,0.9997122987671855
0.026,-0.9970661062681151,0.9996623813858695
0.028,-0.99681282239891,0.9996084750131524
0.03,-0.9965555990160205,0.9995505796490342
0.032,-0.9962944361194468,0.9994886952935149
0.034,-0.9960293337091888,0.9994228219465946
0.036,-0.9957603119536854,0.9993529711184251
0.038,-0.995487371109644,0.9992791429555098
0.04,-0.9952105008528237,0.9992013315657919
0.042,-0.9949297011832243,0.9991195369492717
0.044,-0.9946449721008458,0.9990337591059488
0.046,-0.9943563136056882,0.9989439980358235
0.048,-0.9940637556368813,0.99885027138954
0.05,-0.9937672843610774,0.9987525710116342
0.052,-0.993466894567635,0.9986508938301671
0.054,-0.9931625862565542,0.9985452398451388
0.056,-0.992854359427835,0.9984356090565492
0.058,-0.9925422148624222,0.9983220019454528
0.06,-0.9922261778784095,0.9982044341075508
0.062,-0.9919062350528444,0.9980828972744339
0.064,-0.9915823882417019,0.9979573925893651
0.066,-0.9912546393009574,0.997827921195607
0.068,-0.990922990086586,0.9976944842364226
0.07,-0.9905874424545633,0.9975570828550747
0.072,-0.9902479982608644,0.9974157181948261
0.074,-0.9899046593614647,0.9972703913989398
0.076,-0.9895574276123393,0.9971211036106785
0.078,-0.9892063048694637,0.9969678559733052
0.08,-0.988851292988813,0.9968106496300825
0.082,-0.9884923978700871,0.9966494886713588
0.084,-0.9881296240958296,0.9964843762275331
0.086,-0.9877629695293231,0.9963153105319746
0.088,-0.9873924362766332,0.9961422929102135
