"time","Inductance1.v","SaturatingInductance1.v","SineVoltage1.v"
0,1.25,1.25,1.25
0.002,1.249997500000833,1.249997500000833,1.249997500000833
0.004,1.249990000013333,1.249990000013333,1.249990000013333
0.006,1.2499775000675,1.2499775000675,1.2499775000675
0.008,1.249960000213333,1.249960000213333,1.249960000213333
0.01,1.249937500520832,1.249937500520832,1.249937500520832
0.012,1.249910001079995,1.249910001079995,1.249910001079995
0.014,1.24987750200082,1.24987750200082,1.24987750200082
0.016,1.249840003413304,1.249840003413304,1.249840003413304
0.018,1.249797505467441,1.249797505467441,1.249797505467441
0.02,1.249750008333222,1.249750008333222,1.249750008333222
0.022,1.249697512200636,1.249697512200636,1.249697512200636
0.024,1.249640017279668,1.249640017279668,1.249640017279668
0.026,1.249577523800297,1.249577523800297,1.249577523800297
0.028,1.249510032012497,1.249510032012497,1.249510032012497
0.03,1.249437542186234,1.249437542186234,1.249437542186234
0.032,1.249360054611469,1.249360054611469,1.249360054611469
0.034,1.249277569598152,1.249277569598152,1.249277569598152
0.036,1.249190087476221,1.249190087476221,1.249190087476221
0.038,1.249097608595606,1.249097608595606,1.249097608595606
0.04,1.249000133326222,1.249000133326222,1.249000133326222
0.042,1.248897662057971,1.248897662057971,1.248897662057971
0.044,1.248790195200736,1.248790195200736,1.248790195200736
0.046,1.248677733184385,1.248677733184385,1.248677733184385
0.048,1.248560276458767,1.248560276458767,1.248560276458767
0.05,1.248437825493708,1.248437825493708,1.248437825493708
0.052,1.248310380779011,1.248310380779011,1.248310380779011
0.054,1.248177942824455,1.248177942824455,1.248177942824455
0.056,1.248040512159793,1.248040512159793,1.248040512159793
0.058,1.247898089334746,1.247898089334746,1.247898089334746
0.06,1.247750674919005,1.247750674919005,1.247750674919005
0.062,1.247598269502229,1.247598269502229,1.247598269502229
0.064,1.247440873694037,1.247440873694037,1.247440873694037
0.066,1.247278488124015,1.247278488124015,1.247278488124015
0.068,1.247111113441703,1.247111113441703,1.247111113441703
0.07,1.246938750316599,1.246938750316599,1.246938750316599
0.072,1.246761399438158,1.246761399438158,1.246761399438158
0.074,1.24657906151578,1.24657906151578,1.24657906151578
0.076,1.246391737278819,1.246391737278819,1.246391737278819
0.078,1.246199427476571,1.246199427476571,1.246199427476571
0.08,1.246002132878274,1.246002132878274,1.246002132878274
0.082,1.245799854273107,1.245799854273107,1.245799854273107
0.084,1.245592592470184,1.245592592470184,1.245592592470184
0.086,1.245380348298552,1.245380348298552,1.245380348298552
0.088,1.245163122607188,1.245163122607188,1.245163122607188
0.09,1.244940916264993,1.244940916264993,1.244940916264993
0.092,1.244713730160793,1.244713730160793,1.244713730160793
0.094,1.244481565203332,1.244481565203332,1.244481565203332
0.096,1.244244422321269,1.244244422321269,1.244244422321269
0.098,1.244002302463176,1.244002302463176,1.244002302463176
0.1,1.243755206597532,1.243755206597532,1.243755206597532
0.102,1.24350313571272,1.24350313571272,1.24350313571272
0.104,1.243246090817023,1.243246090817023,1.243246090817023
0.106,1.242984072938621,1.242984072938621,1.242984072938621
0.108,1.242717083125584,1.242717083125584,1.242717083125584
0.11,1.242445122445871,1.242445122445871,1.242445122445871
0.112,1.242168191987325,1.242168191987325,1.242168191987325
0.114,1.241886292857668,1.241886292857668,1.241886292857668
0.116,1.241599426184495,1.241599426184495,1.241599426184495
0.118,1.241307593115272,1.241307593115272,1.241307593115272
0.12,1.241010794817333,1.241010794817333,1.241010794817333
0.122,1.240709032477868,1.240709032477868,1.240709032477868
0.124,1.240402307303929,1.240402307303929,1.240402307303929
0.126,1.240090620522413,1.240090620522413,1.240090620522413
0.128,1.239773973380069,1.239773973380069,1.239773973380069
0.13,1.239452367143485,1.239452367143485,1.239452367143485
0.132,1.239125803099085,1.239125803099085,1.239125803099085
0.134,1.238794282553124,1.238794282553124,1.238794282553124
0.136,1.238457806831685,1.238457806831685,1.238457806831685
0.138,1.23811637728067,1.23811637728067,1.23811637728067
0.14,1.237769995265796,1.237769995265796,1.237769995265796
0.142,1.237418662172592,1.237418662172592,1.237418662172592
0.144,1.237062379406389,1.237062379406389,1.237062379406389
0.146,1.236701148392318,1.236701148392318,1.236701148392318
0.148,1.236334970575302,1.236334970575302,1.236334970575302
0.15,1.235963847420053,1.235963847420053,1.235963847420053
0.152,1.235587780411061,1.235587780411061,1.235587780411061
0.154,1.235206771052596,1.235206771052596,1.235206771052596
0.156,1.234820820868693,1.234820820868693,1.234820820868693
0.158,1.234429931403153,1.234429931403153,1.234429931403153
0.16,1.234034104219534,1.234034104219534,1.234034104219534
0.162,1.233633340901143,1.233633340901143,1.233633340901143
0.164,1.233227643051033,1.233227643051033,1.233227643051033
0.166,1.232817012291995,1.232817012291995,1.232817012291995
0.168,1.232401450266552,1.232401450266552,1.232401450266552
0.17,1.231980958636951,1.231980958636951,1.231980958636951
0.172,1.231555539085158,1.231555539085158,1.231555539085158
0.174,1.231125193312851,1.231125193312851,1.231125193312851
0.176,1.230689923041412,1.230689923041412,1.230689923041412
0.178,1.230249730011922,1.230249730011922,1.230249730011922
0.18,1.229804615985152,1.229804615985152,1.229804615985152
0.182,1.229354582741558,1.229354582741558,1.229354582741558
0.184,1.228899632081272,1.228899632081272,1.228899632081272
0.186,1.228439765824096,1.228439765824096,1.228439765824096
0.188,1.227974985809495,1.227974985809495,1.227974985809495
0.19,1.227505293896588,1.227505293896588,1.227505293896588
0.192,1.227030691964142,1.227030691964142,1.227030691964142
0.194,1.226551181910564,1.226551181910564,1.226551181910564
0.196,1.226066765653894,1.226066765653894,1.226066765653894
0.198,1.225577445131796,1.225577445131796,1.225577445131796
0.2,1.225083222301552,1.225083222301552,1.225083222301552
0.202,1.224584099140052,1.224584099140052,1.224584099140052
0.204,1.224080077643788,1.224080077643788,1.224080077643788
0.206,1.223571159828846,1.223571159828846,1.223571159828846
0.208,1.223057347730896,1.223057347730896,1.223057347730896
0.21,1.222538643405185,1.222538643405185,1.222538643405185
0.212,1.222015048926531,1.222015048926531,1.222015048926531
0.214,1.221486566389311,1.221486566389311,1.221486566389311
0.216,1.220953197907454,1.220953197907454,1.220953197907454
0.218,1.220414945614433,1.220414945614433,1.220414945614433
0.22,1.219871811663257,1.219871811663257,1.219871811663257
0.222,1.21932379822646,1.21932379822646,1.21932379822646
0.224,1.218770907496097,1.218770907496097,1.218770907496097
0.226,1.218213141683729,1.218213141683729,1.218213141683729
0.228,1.217650503020418,1.217650503020418,1.217650503020418
0.23,1.217082993756718,1.217082993756718,1.217082993756718
0.232,1.216510616162667,1.216510616162667,1.216510616162667
0.234,1.215933372527773,1.215933372527773,1.215933372527773
0.236,1.215351265161009,1.215351265161009,1.215351265161009
0.238,1.214764296390806,1.214764296390806,1.214764296390806
0.24,1.214172468565037,1.214172468565037,1.214172468565037
0.242,1.213575784051012,1.213575784051012,1.213575784051012
0.244,1.21297424523547,1.21297424523547,1.21297424523547
0.246,1.212367854524563,1.212367854524563,1.212367854524563
0.248,1.211756614343855,1.211756614343855,1.211756614343855
0.25,1.211140527138306,1.211140527138306,1.211140527138306
0.252,1.210519595372263,1.210519595372263,1.210519595372263
0.254,1.209893821529452,1.209893821529452,1.209893821529452
0.256,1.209263208112968,1.209263208112968,1.209263208112968
0.258,1.208627757645264,1.208627757645264,1.208627757645264
0.26,1.207987472668141,1.207987472668141,1.207987472668141
0.262,1.207342355742739,1.207342355742739,1.207342355742739
0.264,1.206692409449523,1.206692409449523,1.206692409449523
0.266,1.206037636388277,1.206037636388277,1.206037636388277
0.268,1.205378039178095,1.205378039178095,1.205378039178095
0.27,1.204713620457363,1.204713620457363,1.204713620457363
0.272,1.204044382883755,1.204044382883755,1.204044382883755
0.274,1.203370329134222,1.203370329134222,1.203370329134222
0.276,1.202691461904976,1.202691461904976,1.202691461904976
0.278,1.202007783911486,1.202007783911486,1.202007783911486
0.28,1.201319297888464,1.201319297888464,1.201319297888464
0.282,1.200626006589851,1.200626006589851,1.200626006589851
0.284,1.199927912788813,1.199927912788813,1.199927912788813
0.286,1.199225019277724,1.199225019277724,1.199225019277724
0.288,1.198517328868156,1.198517328868156,1.198517328868156
0.29,1.197804844390871,1.197804844390871,1.197804844390871
0.292,1.197087568695806,1.197087568695806,1.197087568695806
0.294,1.196365504652062,1.196365504652062,1.196365504652062
0.296,1.195638655147894,1.195638655147894,1.195638655147894
0.298,1.194907023090701,1.194907023090701,1.194907023090701
0.3,1.194170611407007,1.194170611407007,1.194170611407007
0.302,1.193429423042461,1.193429423042461,1.193429423042461
0.304,1.192683460961814,1.192683460961814,1.192683460961814
0.306,1.191932728148912,1.191932728148912,1.191932728148912
0.308,1.191177227606688,1.191177227606688,1.191177227606688
0.31,1.190416962357142,1.190416962357142,1.190416962357142
0.312,1.189651935441333,1.189651935441333,1.189651935441333
0.314,1.188882149919368,1.188882149919368,1.188882149919368
0.316,1.18810760887039,1.18810760887039,1.18810760887039
0.318,1.18732831539256,1.18732831539256,1.18732831539256
0.32,1.186544272603051,1.186544272603051,1.186544272603051
0.322,1.185755483638034,1.185755483638034,1.185755483638034
0.324,1.184961951652663,1.184961951652663,1.184961951652663
0.326,1.184163679821066,1.184163679821066,1.184163679821066
0.328,1.183360671336329,1.183360671336329,1.183360671336329
0.33,1.182552929410484,1.182552929410484,1.182552929410484
0.332,1.181740457274498,1.181740457274498,1.181740457274498
0.334,1.180923258178258,1.180923258178258,1.180923258178258
0.336,1.180101335390561,1.180101335390561,1.180101335390561
0.338,1.179274692199095,1.179274692199095,1.179274692199095
0.34,1.178443331910433,1.178443331910433,1.178443331910433
0.342,1.177607257850014,1.177607257850014,1.177607257850014
0.344,1.176766473362134,1.176766473362134,1.176766473362134
0.346,1.17592098180993,1.17592098180993,1.17592098180993
0.348,1.175070786575367,1.175070786575367,1.175070786575367
0.35,1.174215891059224,1.174215891059224,1.174215891059224
0.352,1.173356298681082,1.173356298681082,1.173356298681082
0.354,1.17249201287931,1.17249201287931,1.17249201287931
0.356,1.17162303711105,1.17162303711105,1.17162303711105
0.358,1.170749374852203,1.170749374852203,1.170749374852203
0.36,1.169871029597418,1.169871029597418,1.169871029597418
0.362,1.168988004860075,1.168988004860075,1.168988004860075
0.364,1.168100304172271,1.168100304172271,1.168100304172271
0.366,1.167207931084807,1.167207931084807,1.167207931084807
0.368,1.166310889167176,1.166310889167176,1.166310889167176
0.37,1.165409182007543,1.165409182007543,1.165409182007543
0.372,1.164502813212736,1.164502813212736,1.164502813212736
0.374,1.163591786408228,1.163591786408228,1.163591786408228
0.376,1.162676105238127,1.162676105238127,1.162676105238127
0.378,1.161755773365154,1.161755773365154,1.161755773365154
0.38,1.160830794470638,1.160830794470638,1.160830794470638
0.382,1.159901172254491,1.159901172254491,1.159901172254491
0.384,1.158966910435202,1.158966910435202,1.158966910435202
0.386,1.158028012749816,1.158028012749816,1.158028012749816
0.388,1.157084482953923,1.157084482953923,1.157084482953923
0.39,1.156136324821641,1.156136324821641,1.156136324821641
0.392,1.155183542145602,1.155183542145602,1.155183542145602
0.394,1.154226138736934,1.154226138736934,1.154226138736934
0.396,1.15326411842525,1.15326411842525,1.15326411842525
0.398,1.15229748505863,1.15229748505863,1.15229748505863
0.4,1.151326242503606,1.151326242503606,1.151326242503606
0.402,1.150350394645147,1.150350394645147,1.150350394645147
0.404,1.149369945386644,1.149369945386644,1.149369945386644
0.406,1.148384898649892,1.148384898649892,1.148384898649892
0.408,1.147395258375076,1.147395258375076,1.147395258375076
0.41,1.146401028520756,1.146401028520756,1.146401028520756
0.412,1.145402213063851,1.145402213063851,1.145402213063851
0.414,1.144398815999621,1.144398815999621,1.144398815999621
0.416,1.143390841341653,1.143390841341653,1.143390841341653
0.418,1.142378293121844,1.142378293121844,1.142378293121844
0.42,1.141361175390385,1.141361175390385,1.141361175390385
0.422,1.140339492215747,1.140339492215747,1.140339492215747
0.424,1.13931324768466,1.13931324768466,1.13931324768466
0.426,1.138282445902102,1.138282445902102,1.138282445902102
0.428,1.137247090991278,1.137247090991278,1.137247090991278
0.43,1.136207187093606,1.136207187093606,1.136207187093606
0.432,1.135162738368701,1.135162738368701,1.135162738368701
0.434,1.134113748994356,1.134113748994356,1.134113748994356
0.436,1.133060223166527,1.133060223166527,1.133060223166527
0.438,1.132002165099316,1.132002165099316,1.132002165099316
0.44,1.130939579024954,1.130939579024954,1.130939579024954
0.442,1.129872469193784,1.129872469193784,1.129872469193784
0.444,1.128800839874244,1.128800839874244,1.128800839874244
0.446,1.127724695352849,1.127724695352849,1.127724695352849
0.448,1.126644039934176,1.126644039934176,1.126644039934176
0.45,1.125558877940846,1.125558877940846,1.125558877940846
0.452,1.124469213713505,1.124469213713505,1.124469213713505
0.454,1.123375051610808,1.123375051610808,1.123375051610808
0.456,1.122276396009403,1.122276396009403,1.122276396009403
0.458,1.12117325130391,1.12117325130391,1.12117325130391
0.46,1.120065621906906,1.120065621906906,1.120065621906906
0.462,1.118953512248909,1.118953512248909,1.118953512248909
0.464,1.117836926778354,1.117836926778354,1.117836926778354
0.466,1.116715869961583,1.116715869961583,1.116715869961583
0.468,1.115590346282821,1.115590346282821,1.115590346282821
0.47,1.114460360244161,1.114460360244161,1.114460360244161
0.472,1.113325916365546,1.113325916365546,1.113325916365546
0.474,1.11218701918475,1.11218701918475,1.11218701918475
0.476,1.111043673257361,1.111043673257361,1.111043673257361
0.478,1.109895883156759,1.109895883156759,1.109895883156759
0.48,1.108743653474105,1.108743653474105,1.108743653474105
0.482,1.107586988818315,1.107586988818315,1.107586988818315
0.484,1.106425893816047,1.106425893816047,1.106425893816047
0.486,1.105260373111679,1.105260373111679,1.105260373111679
0.488,1.104090431367292,1.104090431367292,1.104090431367292
0.49,1.102916073262652,1.102916073262652,1.102916073262652
0.492,1.101737303495189,1.101737303495189,1.101737303495189
0.494,1.100554126779981,1.100554126779981,1.100554126779981
0.496,1.099366547849733,1.099366547849733,1.099366547849733
0.498,1.098174571454761,1.098174571454761,1.098174571454761
0.5,1.096978202362966,1.096978202362966,1.096978202362966
0.502,1.095777445359824,1.095777445359824,1.095777445359824
0.504,1.094572305248362,1.094572305248362,1.094572305248362
0.506,1.093362786849139,1.093362786849139,1.093362786849139
0.508,1.092148895000226,1.092148895000226,1.092148895000226
