"time","der(x)","der(y)","x","y"
0,1,-1,1,1
0.002,0.9979968035201759,-1.003195589651662,1.001997997425886,0.9979968035201759
0.004,0.9959872283335572,-1.006382317443275,1.003991979499158,0.9959872283335572
0.006,0.9939713024092265,-1.009560114466687,1.005981926304424,0.9939713024092265
0.008,0.9919490277610711,-1.012728941548277,1.007967836412012,0.9919490277610711
0.01,0.9899204729226143,-1.015888686332507,1.009949662301296,0.9899204729226143
0.012,0.9878856253640697,-1.019039326295197,1.011927412662138,0.9878856253640697
0.014,0.985844480258989,-1.022180830520268,1.013901090841855,0.985844480258989
0.016,0.9837970376073721,-1.025313162911868,1.015870696840448,0.9837970376073721
0.018,0.9817433998853677,-1.028436178065582,1.017836161533522,0.9817433998853677
0.02,0.9796835356267763,-1.031549874153899,1.019797506146328,0.9796835356267763
0.022,0.9776174255082563,-1.034654236407648,1.021754743713259,0.9776174255082563
0.024,0.9755450695298075,-1.037749229549836,1.023707874234314,0.9755450695298075
0.026,0.9734665933791194,-1.040834688050908,1.02565681492993,0.9734665933791194
0.028,0.9713819849090578,-1.043910590026518,1.02760157380037,0.9713819849090578
0.03,0.9692912039507112,-1.046976942694994,1.029542177301406,0.9692912039507112
0.032,0.9671942505040798,-1.050033711707214,1.031478625433038,0.9671942505040798
0.034,0.9650912371101074,-1.053080750482106,1.033410846443067,0.9650912371101074
0.036,0.96298218385345,-1.05611800541097,1.035338827526213,0.96298218385345
0.038,0.9608670355825303,-1.059145498100061,1.037262603845208,0.9608670355825303
0.04,0.958745792297348,-1.062163195171032,1.039182175400052,0.958745792297348
0.042,0.9566185171630458,-1.065171003829231,1.041097503898377,0.9566185171630458
0.044,0.9544852709401018,-1.068168834052553,1.043008552505587,0.9544852709401018
0.046,0.9523460313788198,-1.071156674399942,1.044915334710032,0.9523460313788198
0.048,0.9502008165822752,-1.074134475582206,1.046817839537152,0.9502008165822752
0.05,0.9480496446535439,-1.077102188582932,1.048716056012388,0.9480496446535439
0.052,0.9458925336957014,-1.08005976466013,1.050609973161179,0.9458925336957014
0.054,0.9437295018118235,-1.083007155347868,1.052499580008967,0.9437295018118235
0.056,0.9415605671049854,-1.0859443124579,1.054384865581191,0.9415605671049854
0.058,0.9393857600176579,-1.08887117964212,1.056265813344965,0.9393857600176579
0.06,0.9372051218132269,-1.091787693513184,1.058142401893077,0.9372051218132269
0.062,0.9350186521927989,-1.094693819404793,1.060014628540204,0.9350186521927989
0.064,0.9328263713560019,-1.097589508899738,1.061882481367389,0.9328263713560019
0.066,0.9306282995024645,-1.100474713878241,1.06374594845567,0.9306282995024645
0.068,0.9284244568318146,-1.103349386519608,1.065605017886089,0.9284244568318146
0.07,0.9262148635436805,-1.106213479303872,1.067459677739685,0.9262148635436805
0.072,0.9239995398376909,-1.109066945013426,1.069309916097497,0.9239995398376909
0.074,0.9217785104156054,-1.111909736179034,1.071155720566661,0.9217785104156054
0.076,0.9195518264976466,-1.114741802419085,1.072997075962901,0.9195518264976466
0.078,0.9173194861778163,-1.117563100237415,1.074833972694158,0.9173194861778163
0.08,0.9150815110940345,-1.120373583519253,1.076666398690074,0.9150815110940345
0.082,0.9128379228842202,-1.123173206467276,1.078494341880289,0.9128379228842202
0.084,0.9105887431862929,-1.125961923603173,1.080317790194445,0.9105887431862929
0.086,0.9083339936381726,-1.128739689769201,1.082136731562185,0.9083339936381726
0.088,0.906073695877778,-1.131506460129727,1.08395115391315,0.906073695877778
0.09,0.9038078715430292,-1.134262190172757,1.085761045176981,0.9038078715430292
0.092,0.9015365605513158,-1.137006857281565,1.087566406232892,0.9015365605513158
0.094,0.8992597738636355,-1.139740405032877,1.089367217446763,0.8992597738636355
0.096,0.8969775329500018,-1.142462789714114,1.091163466629286,0.8969775329500018
0.098,0.8946898601817869,-1.145173969007197,1.092955142229697,0.8946898601817869
0.1,0.8923967779303624,-1.147873900927065,1.094742232697232,0.8923967779303624
0.102,0.8900983085671011,-1.150562543823068,1.096524726481125,0.8900983085671011
0.104,0.8877944744633746,-1.153239856380347,1.098302612030613,0.8877944744633746
0.106,0.8854852979905551,-1.155905797621197,1.10007587779493,0.8854852979905551
0.108,0.8831708071537611,-1.158560349864637,1.1018445264899,0.8831708071537611
0.11,0.8808510228616948,-1.161203466845266,1.103608542860774,0.8808510228616948
0.112,0.878525966229036,-1.16383510347937,1.10536791217441,0.878525966229036
