"time","der(x)","x"
0,-1,2
0.002,-0.9980019983099113,1.998001998309911
0.004,-0.9960079863492224,1.996007986349222
0.006,-0.9940179568137226,1.994017956813723
0.008,-0.9920318908293666,1.992031890829367
0.01,-0.9900497899624043,1.990049789962404
0.012,-0.9880716550974837,1.988071655097484
0.014,-0.9860974296383751,1.986097429638375
0.016,-0.9841271294983605,1.98412712949836
0.018,-0.9821607617317718,1.982160761731772
0.02,-0.9801983263386094,1.980198326338609
0.022,-0.9782398233188734,1.978239823318873
0.024,-0.9762852526725636,1.976285252672564
0.026,-0.9743345346099059,1.974334534609906
0.028,-0.9723876888009577,1.972387688800958
0.03,-0.9704447427125409,1.970444742712541
0.032,-0.9685056963446554,1.968505696344655
0.034,-0.9665705496973014,1.966570549697301
0.036,-0.9646393027704789,1.964639302770479
0.038,-0.9627118691610523,1.962711869161052
0.04,-0.9607882342549938,1.960788234254994
0.042,-0.9588684538070629,1.958868453807063
0.044,-0.9569525278172593,1.956952527817259
0.046,-0.9550404562855836,1.955040456285584
0.048,-0.9531322392120352,1.953132239212035
0.05,-0.9512278120286206,1.951227812028621
0.052,-0.94932711888563,1.94932711888563
0.054,-0.9474302339167369,1.947430233916737
0.056,-0.9455371571219409,1.945537157121941
0.058,-0.9436478885012425,1.943647888501242
0.06,-0.9417624280546413,1.941762428054641
0.062,-0.939880749843478,1.939880749843478
0.064,-0.9380027840568377,1.938002784056838
0.066,-0.9361285754745421,1.936128575474542
0.068,-0.9342581172317468,1.934258117231747
0.07,-0.9323914024636073,1.932391402463607
0.072,-0.9305284243052798,1.93052842430528
0.074,-0.9286691758919199,1.92866917589192
0.076,-0.9268136503586832,1.926813650358683
0.078,-0.9249618408407254,1.924961840840725
0.08,-0.9231137404732022,1.923113740473202
0.082,-0.9212693423912695,1.921269342391269
0.084,-0.9194286397300826,1.919428639730083
0.086,-0.9175916256247973,1.917591625624797
0.088,-0.9157582675819296,1.91575826758193
0.09,-0.9139285774566879,1.913928577456688
0.092,-0.9121025479479641,1.912102547947964
0.094,-0.9102801715904887,1.910280171590489
0.096,-0.9084614409189926,1.908461440918993
0.098,-0.9066463484682061,1.906646348468206
0.1,-0.9048348867728602,1.90483488677286
