"time","N","aD_Converter.z","dA_Converter.y","pulse.y","resistor.v","sineVoltage.v"
0,7,0,0,4,5,5
0,7,0,0,4,5,5
0,7,0,0,4,5,5
1.00001e-05,7,0,0,4,5.003141623683102,5.003141623683102
1.00001e-05,7,0,0,3,5.003141623975686,5.003141623975686
0.001,7,0,0,3,5.313952597646566,5.313952597646566
0.001,7,0,67,4,0.03836204646546371,5.313952597646566
0.00101,7,0,67,4,0.04149740889887443,5.317087960079977
0.00101,7,0,67,3,0.04149740919086842,5.317087960371971
0.002,7,0,67,3,0.3510756166404185,5.626666167821521
0.002,7,0,71,4,0.03611498671915925,5.626666167821521
0.00201,7,0,71,4,0.03923171405976333,5.629782895162125
0.00201,7,0,71,3,0.03923171435001649,5.629782895452379
0.003,7,0,71,3,0.3463553918262612,5.936906572928623
0.003,7,0,75,4,0.03139476190500101,5.936906572928623
0.00301,7,0,75,4,0.03448055385388304,5.939992364877505
0.00301,7,0,75,3,0.03448055414124962,5.939992365164872
0.004,7,0,75,3,0.3379376248006523,6.243449435824274
0.004,7,0,79,4,0.02297699487939298,6.243449435824274
0.00401,7,0,79,4,0.0260196735088396,6.246492114453721
0.00401,7,0,79,3,0.02601967379218628,6.246492114737068
0.005,7,0,79,3,0.3246125309298558,6.545084971874737
0.005,7,0,83,4,0.009651901008595587,6.545084971874737
0.00501,7,0,83,4,0.01263945796875898,6.548072528834901
0.00501,7,0,83,3,0.01263945824696666,6.548072529113108
0.006,7,0,83,3,0.3051896925572484,6.84062276342339
0.006,7,0,87,4,-0.0097709373640118,6.84062276342339
0.00601,7,0,87,4,-0.006850292595568241,6.843543408191834
0.00601,7,0,87,3,-0.006850292323598239,6.843543408463804
0.007,7,0,87,3,0.2785027570379617,7.128896457825364
0.007,7,0,91,4,-0.0364578728832976,7.128896457825364
0.00701,7,0,91,4,-0.03361566675715988,7.131738663951501
0.00701,7,0,91,3,-0.03361566649250047,7.131738664216161
0.008,7,0,91,3,0.2434140397999158,7.408768370508577
0.008,7,0,94,4,0.007193567358970476,7.408768370508577
0.00801,7,0,94,4,0.009946117953702149,7.411520921103309
0.00801,7,0,94,3,0.009946118210007349,7.411520921359614
0.009,7,0,94,3,0.2775591717453763,7.679133974894983
0.009,7,0,98,4,-0.03740145817588303,7.679133974894983
0.00901,7,0,98,4,-0.03474942617223142,7.681786006898634
0.00901,7,0,98,3,-0.03474942592529384,7.681786007145572
0.01,7,0,98,3,0.222390828391501,7.938926261462367
0.01,7,0,101,4,-0.01382964404944431,7.938926261462367
0.01001,7,0,101,4,-0.01128859699559648,7.941467308516215
0.01001,7,0,101,3,-0.01128859675899818,7.941467308752813
0.011,7,0,101,3,0.2343640432316381,8.187119948743449
0.011,7,0,104,4,-0.001856429209306398,8.187119948743449
0.01101,7,0,104,4,0.0005636045429131542,8.189539982495669
0.01101,7,0,104,3,0.0005636047682351375,8.189539982720991
0.012,7,0,104,3,0.2337591516906876,8.422735529643443
0.012,7,0,107,4,-0.002461320750256846,8.422735529643443
0.01201,7,0,107,4,-0.0001718510672787943,8.425024999326421
0.01201,7,0,107,3,-0.0001718508541195263,8.425024999539581
0.013,7,0,107,3,0.219646286713358,8.644843137107058
0.013,7,0,110,4,-0.01657418572758829,8.644843137107058
0.01301,7,0,110,4,-0.01442431540457711,8.646993007430069
0.01301,7,0,110,3,-0.01442431520442433,8.646993007630222
0.014,7,0,110,3,0.1911488910443015,8.852566213878948
0.014,7,0,112,4,0.03366857608367191,8.852566213878948
0.01401,7,0,112,4,0.03567036227757292,8.854568000072849
0.01401,7,0,112,3,0.03567036246393052,8.854568000259206
0.015,7,0,112,3,0.2261873340794622,9.045084971874738
0.015,7,0,115,4,-0.01003313836148223,9.045084971874738
0.01501,7,0,115,4,-0.008187336432266434,9.046930773803954
0.01501,7,0,115,3,-0.008187336260439437,9.046930773975781
0.016,7,0,115,3,0.1665215172738552,9.221639627510076
0.016,7,0,117,4,0.009041202313225583,9.221639627510076
0.01601,7,0,117,4,0.01072373544080563,9.223322160637656
0.01601,7,0,117,3,0.01072373559742523,9.223322160794275
0.017,7,0,117,3,0.16893497502247,9.38153340021932
0.017,7,0,119,4,0.01145466006184037,9.38153340021932
0.01701,7,0,119,4,0.01296728419820603,9.383046024355686
0.01701,7,0,119,3,0.0129672843389983,9.383046024496478
0.018,7,0,119,3,0.1540565221726187,9.524135262330098
0.018,7,0,121,4,-0.003423792788012747,9.524135262330098
0.01801,7,0,121,4,-0.002087047279273335,9.525472007838838
0.01801,7,0,121,3,-0.002087047154862631,9.525472007963248
0.019,7,0,121,3,0.121323374323147,9.648882429441258
0.019,7,0,123,4,-0.03615694063748265,9.648882429441258
0.01901,7,0,123,4,-0.03500134928019349,9.650038020798547
0.01901,7,0,123,3,-0.0350013491726564,9.650038020906084
0.02,7,0,123,3,0.07024321139702749,9.755282581475768
0.02,7,0,124,4,-0.008496946083287327,9.755282581475768
0.02001,7,0,124,4,-0.00752706946859405,9.756252458090461
0.02001,7,0,124,3,-0.007527069378355122,9.7562524581807
0.021,7,0,124,3,0.07913627808409984,9.842915805643155
0.021,7,0,125,4,0.0003961206037850218,9.842915805643155
0.02101,7,0,125,4,0.001176454815979611,9.84369613985535
0.02101,7,0,125,3,0.001176454888563327,9.843696139927934
0.022,7,0,125,3,0.0689165686040738,9.911436253643444
0.022,7,0,126,4,-0.009823588876241018,9.911436253643444
0.02201,7,0,126,4,-0.009235876689183797,9.912023965830501
0.02201,7,0,126,3,-0.009235876634539508,9.912023965885146
0.023,7,0,126,3,0.03931366405270431,9.960573506572389
0.023,7,0,126,4,0.03931366405270431,9.960573506572389
0.02301,7,0,126,4,0.03970643481961211,9.960966277339297
0.02301,7,0,126,3,0.03970643485610026,9.960966277375785
0.024,7,0,126,3,0.06887379962167373,9.990133642141359
0.024,7,0,127,4,-0.009866357858641095,9.990133642141359
0.02401,7,0,127,4,-0.009670078653304159,9.990329921346696
0.02401,7,0,127,3,-0.009670078635117818,9.990329921364882
0.025,7,0,127,3,0,10
0.025,7,0,127,4,0,10
0.02501,7,0,127,4,-9.869805843720769e-07,9.999999013019416
0.02501,7,0,127,3,-9.869807691131882e-07,9.999999013019231
0.026,7,0,127,3,-0.009866357858641095,9.990133642141359
0.026,7,0,127,4,-0.009866357858641095,9.990133642141359
0.02601,7,0,127,4,-0.0100646071299888,9.989935392870011
0.02601,7,0,127,3,-0.01006460714854462,9.989935392851455
0.027,7,0,127,3,-0.03942649342761229,9.960573506572388
0.027,7,0,126,4,0.03931366405270253,9.960573506572388
0.02701,7,0,126,4,0.03891893488989773,9.960178777409583
0.02701,7,0,126,3,0.03891893485304543,9.960178777372731
0.028,7,0,126,3,-0.009823588876242795,9.911436253643442
0.028,7,0,126,4,-0.009823588876242795,9.911436253643442
0.02801,7,0,126,4,-0.01041324011483624,9.910846602404849
0.02801,7,0,126,3,-0.01041324016984113,9.910846602349844
0.029,7,0,126,3,-0.0783440368765298,9.842915805643155
0.029,7,0,125,4,0.0003961206037850218,9.842915805643155
0.02901,7,0,125,4,-0.0003861256265444979,9.842133559412826
0.02901,7,0,125,3,-0.0003861256994852624,9.842133559339885
0.03,7,0,125,3,-0.08723710356360392,9.755282581475766
0.03,7,0,124,4,-0.008496946083289103,9.755282581475766
0.03001,7,0,124,4,-0.009468700136856967,9.754310827422199
0.03001,7,0,124,3,-0.00946870022744406,9.754310827331611
0.031,7,0,124,3,-0.114897098117801,9.648882429441255
0.031,7,0,123,4,-0.0361569406374862,9.648882429441255
0.03101,7,0,123,4,-0.03731436744499206,9.647725002633749
0.03101,7,0,123,3,-0.03731436755287021,9.647725002525871
0.032,7,0,123,3,-0.1609041077486459,9.524135262330095
0.032,7,0,121,4,-0.0034237927880163,9.524135262330095
0.03201,7,0,121,4,-0.004762324639376203,9.522796730478735
0.03201,7,0,121,3,-0.004762324764119086,9.522796730353992
0.033,7,0,121,3,-0.1460256548987964,9.381533400219315
0.033,7,0,119,4,0.01145466006183504,9.381533400219315
0.03301,7,0,119,4,0.009940305848200381,9.38001904600568
0.03301,7,0,119,3,0.009940305707086594,9.380019045864566
0.034,7,0,119,3,-0.1484391126474076,9.221639627510072
0.034,7,0,117,4,0.00904120231322203,9.221639627510072
0.03401,7,0,117,4,0.007357002201551666,9.219955427398402
0.03401,7,0,117,3,0.007357002044622973,9.219955427241473
0.035,7,0,117,3,-0.1675134533221172,9.045084971874733
0.035,7,0,115,4,-0.01003313836148756,9.045084971874733
0.03501,7,0,115,4,-0.0118805376027904,9.04323757263343
0.03501,7,0,115,3,-0.01188053777491582,9.043237572461305
0.036,7,0,115,3,-0.2025518963572797,8.852566213878941
0.036,7,0,112,4,0.0336685760836648,8.852566213878941
0.03601,7,0,112,4,0.03166526855354057,8.850562906348816
0.03601,7,0,112,3,0.03166526836689876,8.850562906162175
