"time","controller.measured","controller.setpoint","controller.command"
0,0,1,4
0,0,1,4
0,0,1,4
0.002,0,1,4.114285714285714
0.004,0,1,4.228571428571429
0.006,0,1,4.342857142857143
0.008,0,1,4.457142857142857
0.01,0,1,4.571428571428572
0.01,0.01868812906371394,1,3.749150892625158
0.012,0.01868812906371394,1,4.507657402883789
0.014,0.01868812906371394,1,4.707321845644802
0.016,0.01868812906371394,1,4.831273985520472
0.018,0.01868812906371394,1,4.945024736983621
0.02,0.01868812906371394,1,5.05739415945655
0.02,0.0709369617385555,1,2.758445521763521
0.022,0.0709369617385555,1,4.671705756754287
0.024,0.0709369617385555,1,5.02251191536894
0.026,0.0709369617385555,1,5.161785529206734
0.028,0.0709369617385555,1,5.272436487360075
0.03,0.0709369617385555,1,5.379231854781816
0.03,0.150463819076577,1,1.880050131908871
0.032,0.150463819076577,1,4.727865594742866
0.034,0.150463819076577,1,5.197137886229412
0.036,0.150463819076577,1,5.344583747622301
0.038,0.150463819076577,1,5.448499143171011
0.04,0.150463819076577,1,5.546519413396537
0.04,0.2491527594106795,1,1.204206038696024
0.042,0.2491527594106795,1,4.70348617452337
0.044,0.2491527594106795,1,5.251178992030971
0.046,0.2491527594106795,1,5.39954301577743
0.048,0.2491527594106795,1,5.493817628593672
0.05,0.2491527594106795,1,5.58078543944223
0.05,0.3583304884666544,1,0.7769653609793328
0.052,0.3583304884666544,1,4.626546273473132
0.054,0.3583304884666544,1,5.210880319187522
0.056,0.3583304884666544,1,5.353411823327251
0.058,0.3583304884666544,1,5.436113553805379
0.06,0.3583304884666544,1,5.510720825409478
0.06,0.4698079354205948,1,0.6057131594361
0.062,0.4698079354205948,1,4.522154230812403
0.064,0.4698079354205948,1,5.104473943187202
0.066,0.4698079354205948,1,5.235722214171156
0.068,0.4698079354205948,1,5.305906954720837
0.07,0.4698079354205948,1,5.367791008937731
0.07,0.5766399897065366,1,0.6671806203562931
0.072,0.5766399897065366,1,4.410749612687884
0.074,0.5766399897065366,1,4.95913447755027
0.076,0.5766399897065366,1,5.075202688744339
0.078,0.5766399897065366,1,5.132765639477091
0.08,0.5766399897065366,1,5.182388681481976
0.08,0.6735545629688452,1,0.9181474579403996
0.082,0.6735545629688452,1,4.307663222460885
0.084,0.6735545629688452,1,4.798498757670924
0.086,0.6735545629688452,1,4.897224170596363
0.088,0.6735545629688452,1,4.942847208970166
